                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6504,                 1.0171,                 1.5374,                0.16781,                0.25372,                0.15507,                0.05763,                 2.6473,                 3.5381,                 2.3746,               0.006139,               0.006139,               0.006139
                     80,                 1.5984,                 1.0053,                 1.4969,                0.55128,                0.86472,                0.71941,                0.35172,                 1.8044,                0.98102,                  1.835,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.6083,                0.99251,                 1.5359,                0.42902,                0.72857,                 0.5077,                0.20734,                 2.2802,                 1.5746,                 2.2012,                0.00604,                0.00604,                0.00604
                     82,                 1.6198,                 1.0058,                 1.5181,                0.52941,                0.87836,                0.69909,                0.32278,                 1.9133,                 1.1546,                 1.8814,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.6036,                 1.0118,                 1.4998,                0.54905,                0.94022,                0.74957,                0.38806,                 1.6747,                 1.1128,                  1.742,               0.005941,               0.005941,               0.005941
                     84,                 1.6263,                 1.0028,                 1.5221,                0.47324,                0.92568,                0.68258,                0.27966,                  2.073,                 1.2356,                 1.9675,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.6189,                 1.0251,                 1.5093,                 0.3255,                0.43504,                0.29597,                0.09522,                 2.5269,                 2.0406,                 2.3961,               0.005842,               0.005842,               0.005842
                     86,                 1.6134,                 1.0066,                 1.4994,                0.36442,                0.30948,                0.31514,                0.10796,                 2.4414,                  2.188,                 2.4407,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.6109,                0.99559,                 1.5176,                0.61698,                0.86371,                0.78333,                0.39872,                 1.7101,                 0.9283,                 1.7514,               0.005743,               0.005743,               0.005743
                     88,                 1.5846,                 0.9659,                 1.4963,                0.51924,                0.88156,                0.70986,                0.32767,                 1.8874,                 1.0433,                 1.8735,              0.0056935,              0.0056935,              0.0056935
