                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.7248,                0.96219,                 1.2006,                0.64686,                0.75999,                0.75477,                0.37469,                 1.7321,                 1.0062,                 1.2235,               0.003928,               0.003928,               0.003928
                     94,                 1.7211,                0.95385,                 1.1903,                0.64493,                0.78028,                0.75631,                0.37195,                 1.7676,                  1.008,                 1.2415,               0.003862,               0.003862,               0.003862
                     95,                 1.7226,                0.94795,                 1.1982,                0.63016,                0.81625,                0.77285,                0.38181,                 1.7394,                0.98712,                 1.2289,               0.003796,               0.003796,               0.003796
                     96,                 1.7171,                0.94167,                 1.1872,                0.63565,                0.73007,                0.73248,                0.34943,                 1.7311,                 1.0359,                 1.2286,                0.00373,                0.00373,                0.00373
                     97,                 1.7103,                0.94132,                 1.1755,                0.66779,                0.78042,                0.77404,                 0.3832,                 1.7316,                0.97553,                 1.2258,               0.003664,               0.003664,               0.003664
                     98,                  1.719,                0.94347,                 1.1903,                0.62565,                0.78245,                0.74921,                0.36371,                 1.7713,                 1.0232,                 1.2517,               0.003598,               0.003598,               0.003598
                     99,                  1.682,                0.92632,                 1.1701,                0.71203,                0.80619,                0.80303,                0.40371,                 1.6861,                0.96567,                 1.2109,               0.003532,               0.003532,               0.003532
                    100,                 1.7234,                0.95744,                 1.1939,                0.68511,                0.77376,                0.77852,                0.38308,                 1.7553,                 1.0141,                 1.2368,               0.003466,               0.003466,               0.003466
                    101,                 1.7114,                0.92349,                 1.1916,                0.67175,                0.77835,                0.78444,                0.38624,                 1.7402,                0.98033,                 1.2257,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.7024,                0.93738,                 1.1613,                0.70171,                0.76752,                0.78681,                0.38816,                 1.7489,                0.97832,                 1.2326,               0.003334,               0.003334,               0.003334
                    103,                 1.7087,                0.92484,                 1.1786,                0.68906,                0.75883,                0.78671,                 0.3895,                  1.752,                 0.9802,                 1.2394,               0.003268,               0.003268,               0.003268
                    104,                 1.6927,                0.93325,                 1.1752,                0.67988,                0.78511,                0.76916,                0.37179,                 1.7986,                 0.9762,                 1.2529,               0.003202,               0.003202,               0.003202
                    105,                 1.7045,                0.93408,                 1.1652,                0.69264,                0.76291,                0.77765,                0.38936,                 1.7305,                0.97772,                 1.2261,               0.003136,               0.003136,               0.003136
                    106,                 1.6868,                0.92754,                 1.1683,                0.63856,                0.77301,                0.74806,                0.35287,                 1.8114,                 1.0314,                 1.2651,                0.00307,                0.00307,                0.00307
